City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,okhotsk,59.3833,143.3,28.701999999999998,76,33,3.87,RU,1720326829
79,saudarkrokur,65.7461,-19.6394,27.737000000000002,86,81,1.14,IS,1720326830
80,port lincoln,-34.7333,135.8667,28.627999999999997,86,89,6.85,AU,1720326832
81,shingu,33.7333,135.9833,30.752999999999997,48,70,2.12,JP,1720326833
82,tual,-5.6667,132.75,29.961000000000002,85,100,7.05,ID,1720326834
83,longboat key,27.4125,-82.659,30.26,76,0,0.0,US,1720326836
84,west island,-12.1568,96.8225,30.314,74,40,5.66,CC,1720326837
85,haiku-pauwela,20.9219,-156.3051,29.843,70,0,7.72,US,1720326839
86,jamestown,42.097,-79.2353,29.244,94,75,3.09,US,1720326607
87,meadow lake,34.8014,-106.5436,29.938,16,0,2.37,US,1720326842
88,qaqortoq,60.7167,-46.0333,27.655,99,100,0.82,GL,1720326843
89,alofi,-19.0595,-169.9187,29.608999999999998,83,100,7.2,NU,1720326845
90,gadzhiyevo,69.2551,33.3362,28.744999999999997,71,81,10.33,RU,1720326847
91,puerto natales,-51.7236,-72.4875,27.281,96,98,0.98,CL,1720326848
92,vila franca do campo,37.7167,-25.4333,29.338,99,32,2.13,PT,1720326850
93,correntina,-13.3433,-44.6367,29.286,47,74,1.39,BR,1720326852
94,saint-pierre,-21.3393,55.4781,29.458,43,0,4.63,RE,1720326853
95,albany,42.6001,-73.9662,29.588,87,47,1.68,US,1720326855
96,codrington,-38.2667,141.9667,28.894,54,0,4.36,AU,1720326856
97,blackmans bay,-43.0167,147.3167,28.222,73,9,1.42,AU,1720326858
98,altay,47.8667,88.1167,29.642000000000003,46,65,3.02,CN,1720326859
99,daru,-9.0763,143.2092,29.907,81,100,7.68,PG,1720326861
100,sandnessjoen,66.0217,12.6316,28.144,80,39,2.54,NO,1720326863
101,onega,63.9061,38.1404,28.949,66,6,4.98,RU,1720326821
102,guerrero negro,27.9769,-114.0611,29.337,81,0,3.83,MX,1720326866
103,margaret river,-33.95,115.0667,28.891000000000002,65,95,9.69,AU,1720326867
104,longyearbyen,78.2186,15.6401,28.006,53,20,5.66,SJ,1720326871
105,sirvintos,55.05,24.95,29.606,71,87,8.03,LT,1720326872
106,susuman,62.7833,148.1667,28.556,75,98,3.82,RU,1720326874
107,touros,-5.1989,-35.4608,29.669,89,82,3.29,BR,1720326876
108,awjilah,29.1081,21.2869,29.824,46,0,3.93,LY,1720326877
109,los lunas,34.8062,-106.7334,30.086000000000002,16,0,0.89,US,1720326879
110,udachny,66.4167,112.4,29.462,63,97,2.9,RU,1720326880
111,hobyo,5.3505,48.5268,29.951999999999998,67,96,10.77,SO,1720326882
112,lospalos,-8.5186,127.0025,29.905,72,39,6.08,TL,1720326884
113,arteche,12.2645,125.4048,30.338,75,92,2.86,PH,1720326885
114,tughyl,47.7252,84.2063,29.165,67,15,2.09,KZ,1720326887
115,palmeira,-25.4294,-50.0064,28.49,91,83,2.27,BR,1720326888
116,cestos city,5.46,-9.5828,29.794,83,100,4.56,LR,1720326890
117,carnarvon,-24.8667,113.6333,29.157999999999998,87,100,3.12,AU,1720326891
118,torri di quartesolo,45.525,11.6123,29.629,88,32,1.79,IT,1720326893
119,hasaki,35.7333,140.8333,30.942,79,93,4.54,JP,1720326739
120,tabou,4.423,-7.3528,29.717000000000002,87,100,3.79,CI,1720326899
121,lebu,-37.6167,-73.65,28.068,86,5,4.07,CL,1720326900
122,tobelo,1.7284,128.0095,30.194,72,47,2.03,ID,1720326903
123,kayangel,8.0823,134.7173,30.214999999999996,76,46,4.13,PW,1720326904
124,lichinga,-13.3128,35.2406,28.52,94,20,3.6,MZ,1720326906
125,fortuna,40.5982,-124.1573,29.311,78,1,0.11,US,1720326910
126,nyrob,60.733,56.7202,29.717000000000002,47,65,2.44,RU,1720326911
127,tweed heads,-28.1817,153.547,29.381999999999998,68,100,5.14,AU,1720326915
128,ushuaia,-54.8,-68.3,27.195999999999998,80,75,2.06,AR,1720326916
129,port mathurin,-19.6833,63.4167,29.633999999999997,73,73,8.08,MU,1720326918
130,mount pearl,47.5166,-52.7813,28.839999999999996,88,100,9.26,CA,1720326919
131,kiruna,67.8557,20.2251,28.366000000000003,87,100,3.6,SE,1720326923
132,san patricio,28.017,-97.5169,30.254,71,77,3.5,US,1720326927
133,kyelang,32.5833,77.0333,28.697000000000003,45,96,2.39,IN,1720326930
134,polyarnyy,69.1989,33.4478,28.747000000000003,71,80,10.01,RU,1720326855
135,kodiak,57.79,-152.4072,28.788,72,100,2.06,US,1720326933
136,praia da vitoria,38.7333,-27.0667,29.529000000000003,88,20,3.68,PT,1720326935
137,konarka,19.9,86.1167,30.537,63,100,3.69,IN,1720326936
138,qamdo,31.1667,97.2333,29.024,38,79,3.25,CN,1720326938
139,sultanah,24.4926,39.5857,30.54,17,0,2.06,SA,1720326848
140,ilulissat,69.2167,-51.1,27.916000000000004,87,100,0.51,GL,1720326941
141,ghadamis,30.1337,9.5007,30.195,18,0,4.16,LY,1720326942
142,bengkulu,-3.8004,102.2655,30.214999999999996,67,82,2.03,ID,1720326412
143,ribeira grande,38.5167,-28.7,29.413999999999998,90,16,1.79,PT,1720326945
144,ulsteinvik,62.3432,5.8487,28.666000000000004,87,100,2.24,NO,1720326947
145,aleksandrov gay,50.147,48.5704,30.589999999999996,30,4,5.03,RU,1720326948
146,riyadh,24.6877,46.7219,30.523000000000003,8,100,5.22,SA,1720326912
147,edd,13.9297,41.6925,30.788,44,71,0.75,ER,1720326951
148,kalmunai,7.4167,81.8167,30.454,58,98,1.45,LK,1720326953
